,sido,sigungu,cityGubun,marketType,userType,ageGroup,gender,dtYearMonth,userCount,useCount,useCost,Unnamed: 0
0,제주도,서귀포시,도심,소매,내국인관광객,30대,여,201609,2900,3710,122153180,
1,제주도,서귀포시,도심,소매,내국인관광객,30대,남,201609,2880,3838,125068090,
2,제주도,서귀포시,도심,소매,내국인관광객,20대,여,201609,1938,2540,59626410,
3,제주도,서귀포시,도심,소매,내국인관광객,20대,남,201609,925,1153,32983410,
4,제주도,서귀포시,도심,소매,내국인관광객,20 미만,여,201609,81,98,1151100,
5,제주도,서귀포시,도심,소매,내국인관광객,20 미만,남,201609,75,91,976900,
6,제주도,서귀포시,도심,문화/레져,제주도민,60대이상,여,201609,161,204,8033020,
7,제주도,서귀포시,도심,문화/레져,제주도민,60대이상,남,201609,455,659,33793940,
8,제주도,서귀포시,도심,문화/레져,제주도민,50대,여,201609,452,561,20251960,
9,제주도,서귀포시,도심,문화/레져,제주도민,50대,남,201609,945,1262,66541360,
10,제주도,서귀포시,도심,문화/레져,제주도민,40대,여,201609,941,1220,40037185,
11,제주도,서귀포시,도심,문화/레져,제주도민,40대,남,201609,1161,1465,70528340,
12,제주도,서귀포시,도심,문화/레져,제주도민,30대,여,201609,612,750,16976553,
13,제주도,서귀포시,도심,문화/레져,제주도민,30대,남,201609,545,715,19540120,
14,제주도,서귀포시,도심,문화/레져,제주도민,20대,여,201609,411,503,9256200,
15,제주도,서귀포시,도심,문화/레져,제주도민,20대,남,201609,360,434,8365240,
16,제주도,서귀포시,도심,문화/레져,제주도민,20 미만,여,201609,31,40,372100,
17,제주도,서귀포시,도심,문화/레져,제주도민,20 미만,남,201609,12,16,219300,
18,제주도,서귀포시,도심,문화/레져,내국인관광객,60대이상,여,201609,136,167,8628124,
19,제주도,서귀포시,도심,문화/레져,내국인관광객,60대이상,남,201609,383,540,41614420,
20,제주도,서귀포시,도심,문화/레져,내국인관광객,50대,여,201609,415,516,26364020,
21,제주도,서귀포시,도심,문화/레져,내국인관광객,50대,남,201609,703,869,65040060,
22,제주도,서귀포시,도심,문화/레져,내국인관광객,40대,여,201609,674,862,36731287,
23,제주도,서귀포시,도심,문화/레져,내국인관광객,40대,남,201609,1022,1242,54240020,
24,제주도,서귀포시,도심,문화/레져,내국인관광객,30대,여,201609,900,1063,31879030,
25,제주도,서귀포시,도심,문화/레져,내국인관광객,30대,남,201609,1047,1277,39692440,
26,제주도,서귀포시,도심,문화/레져,내국인관광객,20대,여,201609,590,684,16447280,
27,제주도,서귀포시,도심,문화/레져,내국인관광객,20대,남,201609,463,536,13423110,
28,제주도,서귀포시,도심,문화/레져,내국인관광객,20 미만,남,201609,8,8,143000,
29,제주도,서귀포시,도심,기타,제주도민,60대이상,여,201609,1559,2857,181488494,
30,제주도,서귀포시,도심,기타,제주도민,60대이상,남,201609,2773,5223,331996350,
31,제주도,서귀포시,도심,기타,제주도민,50대,여,201609,2403,4305,261894732,
32,제주도,서귀포시,도심,기타,제주도민,50대,남,201609,3069,5533,391336311,
33,제주도,서귀포시,도심,기타,제주도민,40대,여,201609,3099,5725,377285160,
34,제주도,서귀포시,도심,기타,제주도민,40대,남,201609,3702,6880,412899707,
35,제주도,서귀포시,도심,기타,제주도민,30대,여,201609,2991,5635,396066259,
36,제주도,서귀포시,도심,기타,제주도민,30대,남,201609,2216,3764,180559926,
37,제주도,서귀포시,도심,기타,제주도민,20대,여,201609,886,1383,63587740,
38,제주도,서귀포시,도심,기타,제주도민,20대,남,201609,721,1022,38117070,
39,제주도,서귀포시,도심,기타,제주도민,20 미만,여,201609,26,31,846310,
40,제주도,서귀포시,도심,기타,제주도민,20 미만,남,201609,15,26,191900,
41,제주도,서귀포시,도심,기타,내국인관광객,60대이상,여,201609,320,590,31722420,
42,제주도,서귀포시,도심,기타,내국인관광객,60대이상,남,201609,572,922,36617670,
43,제주도,서귀포시,도심,기타,내국인관광객,50대,여,201609,540,790,36844130,
44,제주도,서귀포시,도심,기타,내국인관광객,50대,남,201609,962,1553,60777202,
45,제주도,서귀포시,도심,기타,내국인관광객,40대,여,201609,776,1138,44162610,
46,제주도,서귀포시,도심,기타,내국인관광객,40대,남,201609,1329,2136,75346830,
47,제주도,서귀포시,도심,기타,내국인관광객,30대,여,201609,1330,1766,66147530,
48,제주도,서귀포시,도심,기타,내국인관광객,30대,남,201609,1481,2064,59154360,
49,제주도,서귀포시,도심,기타,내국인관광객,20대,여,201609,737,964,31439880,
50,제주도,서귀포시,도심,기타,내국인관광객,20대,남,201609,487,635,19627920,
51,제주도,서귀포시,도심,기타,내국인관광객,20 미만,여,201609,6,7,51900,
52,제주도,서귀포시,도심,기타,내국인관광객,20 미만,남,201609,7,8,78000,
53,제주도,서귀포시,도심,교통,제주도민,60대이상,여,201609,851,1299,56626324,
54,제주도,서귀포시,도심,교통,제주도민,60대이상,남,201609,3052,5056,196044410,
55,제주도,서귀포시,도심,교통,제주도민,50대,여,201609,1711,2478,120711752,
56,제주도,서귀포시,도심,교통,제주도민,50대,남,201609,2892,4854,240231832,
57,제주도,서귀포시,도심,교통,제주도민,40대,여,201609,1884,2883,137630965,
58,제주도,서귀포시,도심,교통,제주도민,40대,남,201609,3072,4961,260016481,
59,제주도,서귀포시,도심,교통,제주도민,30대,여,201609,1289,1813,71588317,
60,제주도,서귀포시,도심,교통,제주도민,30대,남,201609,1940,2925,129536975,
61,제주도,서귀포시,도심,교통,제주도민,20대,여,201609,343,462,16207380,
62,제주도,서귀포시,도심,교통,제주도민,20대,남,201609,539,790,27195254,
63,제주도,서귀포시,도심,교통,내국인관광객,60대이상,여,201609,260,316,16222957,
64,제주도,서귀포시,도심,교통,내국인관광객,60대이상,남,201609,632,750,35110999,
65,제주도,서귀포시,도심,교통,내국인관광객,50대,여,201609,540,619,26749254,
66,제주도,서귀포시,도심,교통,내국인관광객,50대,남,201609,1188,1427,66391007,
67,제주도,서귀포시,도심,교통,내국인관광객,40대,여,201609,798,922,37133438,
68,제주도,서귀포시,도심,교통,내국인관광객,40대,남,201609,1778,2059,79696179,
69,제주도,서귀포시,도심,교통,내국인관광객,30대,여,201609,1441,1543,52066479,
70,제주도,서귀포시,도심,교통,내국인관광객,30대,남,201609,2358,2606,87972936,
71,제주도,서귀포시,도심,교통,내국인관광객,20대,여,201609,731,765,22788256,
72,제주도,서귀포시,도심,교통,내국인관광객,20대,남,201609,724,788,23430793,
0,제주도,제주시,읍면,유흥,제주도민,60대이상,여,201812,23,29,4240100,0.0
1,제주도,제주시,읍면,유흥,제주도민,60대이상,남,201812,114,190,27414000,1.0
2,제주도,제주시,읍면,유흥,제주도민,50대,여,201812,52,71,6848000,2.0
3,제주도,제주시,읍면,유흥,제주도민,50대,남,201812,259,458,91468500,3.0
4,제주도,제주시,읍면,유흥,제주도민,40대,여,201812,77,99,10021600,4.0
5,제주도,제주시,읍면,유흥,제주도민,40대,남,201812,238,375,63455500,5.0
6,제주도,제주시,읍면,유흥,제주도민,30대,여,201812,43,61,8359000,6.0
7,제주도,제주시,읍면,유흥,제주도민,30대,남,201812,129,188,25670700,7.0
8,제주도,제주시,읍면,유흥,제주도민,20대미만,남,201812,1,3,680000,8.0
9,제주도,제주시,읍면,유흥,제주도민,20대,여,201812,38,43,2391000,9.0
10,제주도,제주시,읍면,유흥,제주도민,20대,남,201812,67,103,11171600,10.0
11,제주도,제주시,읍면,유흥,내국인관광객,60대이상,여,201812,16,21,4474000,11.0
12,제주도,제주시,읍면,유흥,내국인관광객,60대이상,남,201812,45,59,8459100,12.0
13,제주도,제주시,읍면,유흥,내국인관광객,50대,여,201812,38,47,4403500,13.0
14,제주도,제주시,읍면,유흥,내국인관광객,50대,남,201812,136,174,23659532,14.0
15,제주도,제주시,읍면,유흥,내국인관광객,40대,여,201812,60,74,5511100,15.0
16,제주도,제주시,읍면,유흥,내국인관광객,40대,남,201812,126,187,25387500,16.0
17,제주도,제주시,읍면,유흥,내국인관광객,30대,여,201812,97,104,3084850,17.0
18,제주도,제주시,읍면,유흥,내국인관광객,30대,남,201812,147,180,14373060,18.0
19,제주도,제주시,읍면,유흥,내국인관광객,20대미만,여,201812,2,2,62000,19.0
20,제주도,제주시,읍면,유흥,내국인관광객,20대미만,남,201812,1,2,360000,20.0
21,제주도,제주시,읍면,유흥,내국인관광객,20대,여,201812,162,173,4591600,21.0
22,제주도,제주시,읍면,유흥,내국인관광객,20대,남,201812,91,108,3988600,22.0
23,제주도,제주시,읍면,식음료,제주도민,60대이상,여,201812,1165,2047,73671600,23.0
24,제주도,제주시,읍면,식음료,제주도민,60대이상,남,201812,2665,5781,213324525,24.0
25,제주도,제주시,읍면,식음료,제주도민,50대,여,201812,2604,4970,166440225,25.0
26,제주도,제주시,읍면,식음료,제주도민,50대,남,201812,4486,10258,358365895,26.0
27,제주도,제주시,읍면,식음료,제주도민,40대,여,201812,3500,7412,207099310,27.0
28,제주도,제주시,읍면,식음료,제주도민,40대,남,201812,4946,11545,361482317,28.0
29,제주도,제주시,읍면,식음료,제주도민,30대,여,201812,2867,5816,145715448,29.0
30,제주도,제주시,읍면,식음료,제주도민,30대,남,201812,3481,7079,195746704,30.0
31,제주도,제주시,읍면,식음료,제주도민,20대미만,여,201812,101,167,2601980,31.0
32,제주도,제주시,읍면,식음료,제주도민,20대미만,남,201812,115,235,4424340,32.0
33,제주도,제주시,읍면,식음료,제주도민,20대,여,201812,2098,3394,74200818,33.0
34,제주도,제주시,읍면,식음료,제주도민,20대,남,201812,1831,3433,79722220,34.0
35,제주도,제주시,읍면,식음료,내국인관광객,60대이상,여,201812,1439,2077,79170850,35.0
36,제주도,제주시,읍면,식음료,내국인관광객,60대이상,남,201812,2406,3860,151889500,36.0
37,제주도,제주시,읍면,식음료,내국인관광객,50대,여,201812,4060,5973,195317360,37.0
38,제주도,제주시,읍면,식음료,내국인관광객,50대,남,201812,5587,9062,325086394,38.0
39,제주도,제주시,읍면,식음료,내국인관광객,40대,여,201812,5423,8336,258896960,39.0
40,제주도,제주시,읍면,식음료,내국인관광객,40대,남,201812,6720,11155,377360139,40.0
41,제주도,제주시,읍면,식음료,내국인관광객,30대,여,201812,9107,14294,377362353,41.0
42,제주도,제주시,읍면,식음료,내국인관광객,30대,남,201812,9316,14616,415892612,42.0
43,제주도,제주시,읍면,식음료,내국인관광객,20대미만,여,201812,180,293,6309450,43.0
44,제주도,제주시,읍면,식음료,내국인관광객,20대미만,남,201812,148,231,5042150,44.0
45,제주도,제주시,읍면,식음료,내국인관광객,20대,여,201812,11321,17650,407825240,45.0
46,제주도,제주시,읍면,식음료,내국인관광객,20대,남,201812,7095,10669,258732290,46.0
47,제주도,제주시,읍면,숙박,제주도민,60대이상,여,201812,25,34,12606520,47.0
48,제주도,제주시,읍면,숙박,제주도민,60대이상,남,201812,54,85,6589600,48.0
49,제주도,제주시,읍면,숙박,제주도민,50대,여,201812,58,87,10094930,49.0
50,제주도,제주시,읍면,숙박,제주도민,50대,남,201812,126,173,15627350,50.0
51,제주도,제주시,읍면,숙박,제주도민,40대,여,201812,89,124,5899540,51.0
52,제주도,제주시,읍면,숙박,제주도민,40대,남,201812,155,225,10676990,52.0
53,제주도,제주시,읍면,숙박,제주도민,30대,여,201812,81,123,4549300,53.0
54,제주도,제주시,읍면,숙박,제주도민,30대,남,201812,144,228,12784232,54.0
55,제주도,제주시,읍면,숙박,제주도민,20대미만,여,201812,2,2,180000,55.0
56,제주도,제주시,읍면,숙박,제주도민,20대미만,남,201812,3,4,237500,56.0
57,제주도,제주시,읍면,숙박,제주도민,20대,여,201812,70,90,4288640,57.0
58,제주도,제주시,읍면,숙박,제주도민,20대,남,201812,95,115,4889050,58.0
59,제주도,제주시,읍면,숙박,내국인관광객,60대이상,여,201812,94,129,12809940,59.0
60,제주도,제주시,읍면,숙박,내국인관광객,60대이상,남,201812,191,279,26505163,60.0
61,제주도,제주시,읍면,숙박,내국인관광객,50대,여,201812,307,367,33190942,61.0
62,제주도,제주시,읍면,숙박,내국인관광객,50대,남,201812,493,665,72294220,62.0
63,제주도,제주시,읍면,숙박,내국인관광객,40대,여,201812,397,503,41856976,63.0
64,제주도,제주시,읍면,숙박,내국인관광객,40대,남,201812,563,744,67920126,64.0
65,제주도,제주시,읍면,숙박,내국인관광객,30대,여,201812,510,617,51997841,65.0
66,제주도,제주시,읍면,숙박,내국인관광객,30대,남,201812,479,673,50017075,66.0
67,제주도,제주시,읍면,숙박,내국인관광객,20대미만,여,201812,7,9,113220,67.0
68,제주도,제주시,읍면,숙박,내국인관광객,20대미만,남,201812,18,23,1438600,68.0
69,제주도,제주시,읍면,숙박,내국인관광객,20대,여,201812,374,417,22011699,69.0
70,제주도,제주시,읍면,숙박,내국인관광객,20대,남,201812,292,351,20634113,70.0
