,읍면동명,이용자수,이용금액,업종명,점포 수,점포당 매출액,창업비용,매출ratio,이용률
35,중앙동,37251,4961156042,숙박업,9,551239560.2222222,417000000,1.3219174106048497,4139.0
16,아라동,6726,1503657825,숙박업,3,501219275.0,417000000,1.2019646882494004,2242.0
21,예래동,86633,35932357350,숙박업,49,733313415.3061224,417000000,1.7585453604463368,1768.0204081632653
19,연동,113609,26611999012,숙박업,79,336860746.98734176,417000000,0.8078195371399083,1438.0886075949368
32,정방동,37251,4961156042,숙박업,26,190813693.92307693,417000000,0.4575867959786018,1432.7307692307693
15,송산동,54406,6949964649,숙박업,49,141836013.24489796,417000000,0.3401343243282925,1110.3265306122448
20,영천동,17544,1954415806,숙박업,16,122150987.875,417000000,0.2929280284772182,1096.5
11,삼도2동,33790,8892444353,숙박업,31,286853043.64516133,417000000,0.6878969871586602,1090.0
23,외도동,14438,1162389360,숙박업,14,83027811.42857143,417000000,0.19910746145940392,1031.2857142857142
36,천지동,39617,5301503776,숙박업,44,120488722.18181822,417000000,0.2889417798125137,900.3863636363636
6,대천동,15421,2201327226,숙박업,18,122295957.0,417000000,0.2932756762589928,856.7222222222222
4,대륜동,18041,2911563415,숙박업,22,132343791.59090908,417000000,0.3173712028558971,820.0454545454545
34,중문동,26094,6049035956,숙박업,33,183304119.87878788,417000000,0.4395782251289877,790.7272727272727
0,건입동,19244,3021186198,숙박업,26,116199469.15384616,417000000,0.27865580132816825,740.1538461538462
13,서홍동,2366,340347734,숙박업,4,85086933.5,417000000,0.2040454040767386,591.5
3,노형동,16191,3283181817,숙박업,28,117256493.46428572,417000000,0.28119063180883863,578.25
28,이도2동,14356,2678538529,숙박업,26,103020712.65384616,417000000,0.2470520687142594,552.1538461538462
17,안덕면,44562,1833852801,숙박업,91,20152228.58241758,417000000,0.048326687248003784,489.6923076923077
27,이도1동,17091,4411240130,숙박업,56,78772145.17857143,417000000,0.18890202680712573,305.19642857142856
14,성산읍,33535,2655277103,숙박업,111,23921415.342342343,417000000,0.05736550441808715,302.1171171171171
22,오라동,3351,417766532,숙박업,13,32135887.07692308,417000000,0.07706447740269322,257.7692307692308
10,삼도1동,11816,1416966198,숙박업,50,28339323.96,417000000,0.06796000949640288,236.32
9,봉개동,908,57467815,숙박업,4,14366953.75,417000000,0.03445312649880096,227.0
18,애월읍,40709,4734422761,숙박업,184,25730558.48369565,417000000,0.06170397717912625,221.2445652173913
7,도두동,3698,888650184,숙박업,17,52273540.23529412,417000000,0.12535621159542953,217.52941176470588
25,용담2동,4838,668931383,숙박업,24,27872140.95833333,417000000,0.06683966656674659,201.58333333333334
40,한림읍,19133,1750567538,숙박업,110,15914250.345454546,417000000,0.03816366989317637,173.93636363636364
29,이호동,1838,475750163,숙박업,11,43250014.81818182,417000000,0.10371706191410507,167.0909090909091
30,일도1동,3965,234818090,숙박업,24,9784087.083333334,417000000,0.023463038569144685,165.20833333333334
8,동홍동,1264,96081586,숙박업,8,12010198.25,417000000,0.028801434652278177,158.0
33,조천읍,15423,2139127951,숙박업,108,19806740.28703704,417000000,0.0474981781463718,142.80555555555554
12,삼양동,1235,165017212,숙박업,9,18335245.777777776,417000000,0.043969414335198506,137.22222222222223
5,대정읍,7502,403459738,숙박업,60,6724328.966666668,417000000,0.016125489128697046,125.03333333333333
38,표선면,4953,478412946,숙박업,40,11960323.65,417000000,0.02868183129496403,123.825
37,추자면,1137,192603130,숙박업,10,19260313.0,417000000,0.04618780095923261,113.7
26,우도면,1765,69138450,숙박업,16,4321153.125,417000000,0.010362477517985613,110.3125
2,남원읍,5592,686348805,숙박업,56,12256228.660714285,417000000,0.02939143563720452,99.85714285714286
24,용담1동,2275,689467273,숙박업,25,27578690.92,417000000,0.06613594944844126,91.0
1,구좌읍,7307,486075860,숙박업,98,4959957.755102041,417000000,0.01189438310576029,74.56122448979592
31,일도2동,2842,209819900,숙박업,41,5117558.536585365,417000000,0.012272322629701116,69.3170731707317
42,효돈동,150,31457660,숙박업,7,4493951.428571428,417000000,0.010776861939020213,21.428571428571427
39,한경면,546,52632390,숙박업,33,1594920.9090909092,417000000,0.003824750381512972,16.545454545454547
41,화북동,8,1660000,숙박업,2,830000.0,417000000,0.001990407673860911,4.0
